
========== REPORT ==========
[OK] Totals | Stores=35 | Categories=122 | Unique=25328 | New=0 | Restored=1 | Removed=6 | PriceChanges=19 | Runtime=  3065s

FAILED CATEGORIES (3)
  ✗ Elbow Liquor | Whisky
  ✗ Elbow Liquor | Rum
  ✗ Elbow Liquor | Gin

  https://www.bswliquor.com/products/1731-british-west-indies-xo
~ BSW | Rum                         | Hamilton Navy Strength Rum 896441  $57.99 -> $59.99 (Cheaper at CLB Spirits)
  https://www.bswliquor.com/products/hamilton-navy-strength
~ BSW | Rum                         | Rum Nation Anniversary Edition Venezuela X.O. Rum 127318  $110.00 -> $115.00 (Cheaper at Silver Springs Liquor)
  https://www.bswliquor.com/products/rum-nation-venezuela-xo
~ BSW | Rum                         | Rum Nation Dominicana 8 Year Old Rum 127314  $72.99 -> $75.99 (Cheaper at Silver Springs Liquor)
  https://www.bswliquor.com/products/rum-nation-dominicana-8-y-o
~ BSW | Rum                         | Rum Nation Specially Peruano 8 Year Old Rum 746483  $72.99 -> $75.99 (Cheaper at Sierra Springs)
  https://www.bswliquor.com/products/rum-nation-peruano-8-year-old
~ BSW | Rum                         | St. Lucia Distillers The Forgotten Casks Chairmans Reserve Finest Rum 749269  $69.99 -> $71.99 (Cheaper at CLB Spirits)
  https://www.bswliquor.com/products/st-lucia-chairmans-reserve-forgotten-casks
~ BSW | Scotch Whisky               | Black Bull 18 Year Old Nick Faldo Limited Edition 151042  $180.00 -> $185.00 (Cheaper at CLB Spirits)
  https://www.bswliquor.com/products/black-bull-18yo-nick-faldo-collection
~ BSW | Scotch Whisky               | Black Bull Peated Edition Blended Scotch 844718  $59.99 -> $60.99 (Cheaper at Lime Liquor)
  https://www.bswliquor.com/products/black-bull-peated-edition-blended-scotch
~ BSW | Scotch Whisky               | The Glenlivet 55 Year Old 121063  $77,500.00 -> $69,500.00 [10% Off]
  https://www.bswliquor.com/products/the-glenlivet-55-year-old
~ BSW | Scotch Whisky               | Track 04 One Way Or Another 111701  $91.99 -> $94.99 (Cheaper at Lime Liquor)
  https://www.bswliquor.com/products/track-04-one-way-or-another
~ BSW | Scotch Whisky               | Turntable Spirits Track 06 All My Life 117063  $91.99 -> $94.99 (Cheaper at Lime Liquor)
  https://www.bswliquor.com/products/turntable-spirits-track-06-all-my-life
